,lr,p,b0,bi,trunk,best_epoch,R2,MSE
68,0.0001,12.0,8.0,4.0,12.0,2.0,-222194.4375,714013.0
69,0.0001,12.0,8.0,8.0,4.0,2.0,-187118.609375,597204.75
70,0.0001,12.0,8.0,8.0,8.0,2.0,-119725.40625,396609.46875
71,0.0001,12.0,8.0,8.0,12.0,2.0,-1627227.0,5335529.0
72,0.0001,12.0,12.0,2.0,4.0,2.0,-38171.91015625,126946.1953125
73,0.0001,12.0,12.0,2.0,8.0,2.0,-345722.78125,1127963.375
74,0.0001,12.0,12.0,2.0,12.0,2.0,-72449.53125,243694.546875
75,0.0001,12.0,12.0,4.0,4.0,2.0,-68961.5859375,223888.53125
76,0.0001,12.0,12.0,4.0,8.0,2.0,-216193.40625,691938.3125
77,0.0001,12.0,12.0,4.0,12.0,2.0,-126307.734375,410494.75
78,0.0001,12.0,12.0,8.0,4.0,2.0,-48398.1796875,161703.59375
79,0.0001,12.0,12.0,8.0,8.0,2.0,-127428.96875,414060.375
80,0.0001,12.0,12.0,8.0,12.0,2.0,-261495.375,883970.0625
81,0.001,4.0,4.0,2.0,4.0,2.0,-2776.4072265625,9027.2939453125
82,0.001,4.0,4.0,2.0,8.0,2.0,-10891.9130859375,35506.23046875
83,0.001,4.0,4.0,2.0,12.0,2.0,-14311.0732421875,45945.85546875
84,0.001,4.0,4.0,4.0,4.0,2.0,-5497.033203125,19290.6171875
85,0.001,4.0,4.0,4.0,8.0,2.0,-2621.517822265625,11410.052734375
86,0.001,4.0,4.0,4.0,12.0,2.0,-7856.203125,28062.083984375
87,0.001,4.0,4.0,8.0,4.0,2.0,-25631.1875,90538.7578125
88,0.001,4.0,4.0,8.0,8.0,2.0,-32804.3046875,133378.28125
89,0.001,4.0,4.0,8.0,12.0,2.0,-112114.8515625,494497.96875
90,0.001,4.0,8.0,2.0,4.0,2.0,-4570.1796875,17672.416015625
91,0.001,4.0,8.0,2.0,8.0,2.0,-44240.81640625,174543.078125
92,0.001,4.0,8.0,2.0,12.0,2.0,-64482.80078125,266667.15625
93,0.001,4.0,8.0,4.0,4.0,2.0,-2777.68408203125,10799.296875
94,0.001,4.0,8.0,4.0,8.0,2.0,-104532.140625,408623.625
95,0.001,4.0,8.0,4.0,12.0,2.0,-14058.8291015625,47632.47265625
96,0.001,4.0,8.0,8.0,4.0,2.0,-15224.4423828125,52028.5078125
97,0.001,4.0,8.0,8.0,8.0,2.0,-33648.44140625,139947.125
98,0.001,4.0,8.0,8.0,12.0,2.0,-1784.839599609375,16739.275390625
99,0.001,4.0,12.0,2.0,4.0,2.0,-17492.416015625,57153.37890625
100,0.001,4.0,12.0,2.0,8.0,2.0,-11914.759765625,39989.33984375
101,0.001,4.0,12.0,2.0,12.0,2.0,-16673.046875,57699.10546875
102,0.001,4.0,12.0,4.0,4.0,2.0,-40868.6875,159572.9375
103,0.001,4.0,12.0,4.0,8.0,2.0,-9241.630859375,32593.587890625
104,0.001,4.0,12.0,4.0,12.0,2.0,-12408.1083984375,42822.61328125
105,0.001,4.0,12.0,8.0,4.0,2.0,-7465.39501953125,27628.568359375
106,0.001,4.0,12.0,8.0,8.0,2.0,-27561.34765625,120488.9609375
107,0.001,4.0,12.0,8.0,12.0,2.0,-40836.60546875,183924.09375
108,0.001,8.0,4.0,2.0,4.0,2.0,-51657.328125,168283.15625
109,0.001,8.0,4.0,2.0,8.0,2.0,-120449.0546875,411741.6875
110,0.001,8.0,4.0,2.0,12.0,2.0,-91767.09375,303679.09375
111,0.001,8.0,4.0,4.0,4.0,2.0,-77541.546875,247834.15625
112,0.001,8.0,4.0,4.0,8.0,2.0,-113429.5390625,418622.375
113,0.001,8.0,4.0,4.0,12.0,0.0,-15253.5693359375,48649.30078125
114,0.001,8.0,4.0,8.0,4.0,2.0,-108274.3828125,387214.75
115,0.001,8.0,4.0,8.0,8.0,2.0,-130975.2890625,482517.8125
116,0.001,8.0,4.0,8.0,12.0,2.0,-64026.41796875,222842.734375
117,0.001,8.0,8.0,2.0,4.0,2.0,-76820.5,245596.96875
118,0.001,8.0,8.0,2.0,8.0,2.0,-105436.3671875,362615.5625
119,0.001,8.0,8.0,2.0,12.0,2.0,-129692.2265625,480887.5625
120,0.001,8.0,8.0,4.0,4.0,2.0,-72241.9765625,258813.578125
121,0.001,8.0,8.0,4.0,8.0,2.0,-122741.9453125,456945.46875
122,0.001,8.0,8.0,4.0,12.0,2.0,-70238.4921875,236882.046875
123,0.001,8.0,8.0,8.0,4.0,2.0,-62422.1015625,276673.1875
124,0.001,8.0,8.0,8.0,8.0,2.0,-156608.0,602740.6875
125,0.001,8.0,8.0,8.0,12.0,2.0,-54886.23828125,209210.703125
126,0.001,8.0,12.0,2.0,4.0,2.0,-68404.125,225447.25
127,0.001,8.0,12.0,2.0,8.0,2.0,-58897.5703125,206220.21875
128,0.001,8.0,12.0,2.0,12.0,2.0,-56723.04296875,204543.4375
129,0.001,8.0,12.0,4.0,4.0,2.0,-76824.4375,344039.09375
130,0.001,8.0,12.0,4.0,8.0,2.0,-57032.6171875,255634.828125
131,0.001,8.0,12.0,4.0,12.0,2.0,-106380.1015625,542818.25
132,0.001,8.0,12.0,8.0,4.0,2.0,-287569.03125,1175771.25
133,0.001,8.0,12.0,8.0,8.0,2.0,-416913.34375,1719786.875
134,0.001,8.0,12.0,8.0,12.0,2.0,-50822.3515625,203910.328125
135,0.001,12.0,4.0,2.0,4.0,2.0,-158536.53125,516333.375
136,0.001,12.0,4.0,2.0,8.0,2.0,-116755.1015625,436542.3125
137,0.001,12.0,4.0,2.0,12.0,2.0,-188007.890625,606442.6875
