,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
70,0.0001,16,8,16,8,0.978608407,0.950648968,0.918790826,0.891441397
71,0.0001,16,8,16,16,0.965921427,0.952897377,0.913495467,0.884615323
72,0.0001,16,16,4,4,0.977697411,0.954638199,0.913800668,0.900443552
73,0.0001,16,16,4,8,0.974621695,0.953303369,0.919769308,0.900361053
74,0.0001,16,16,4,16,0.976011468,0.958306997,0.913866508,0.89140494
75,0.0001,16,16,8,4,0.966323767,0.955057377,0.915342629,0.893465771
76,0.0001,16,16,8,8,0.980929996,0.958309827,0.922625232,0.900696745
77,0.0001,16,16,8,16,0.981172401,0.957302561,0.915079145,0.898832548
78,0.0001,16,16,16,4,0.97616154,0.960705045,0.91485161,0.896833514
79,0.0001,16,16,16,8,0.976087611,0.954327005,0.91328821,0.898451036
80,0.0001,16,16,16,16,0.972956461,0.947465815,0.913369066,0.890243493
81,0.001,4,4,4,4,0.973519729,0.950280185,0.911044912,0.893096682
82,0.001,4,4,4,8,0.974590657,0.94746397,0.909908988,0.891396273
83,0.001,4,4,4,16,0.978702497,0.956341238,0.916351643,0.889308028
84,0.001,4,4,8,4,0.976549524,0.954666788,0.921542634,0.896702593
85,0.001,4,4,8,8,0.978992419,0.957931299,0.91767901,0.899729988
86,0.001,4,4,8,16,0.970773672,0.95106021,0.920229064,0.894336809
87,0.001,4,4,16,4,0.975877244,0.955978055,0.910319375,0.891610318
88,0.001,4,4,16,8,0.977077806,0.95487334,0.915643499,0.900341504
89,0.001,4,4,16,16,0.978256925,0.951434813,0.913183488,0.90061818
90,0.001,4,8,4,4,0.968912,0.953990906,0.910912116,0.89306761
91,0.001,4,8,4,8,0.97014579,0.946019201,0.909479667,0.889744716
92,0.001,4,8,4,16,0.974043208,0.951393852,0.91464306,0.900542671
93,0.001,4,8,8,4,0.977960842,0.955775949,0.920274075,0.899578298
94,0.001,4,8,8,8,0.976500472,0.953488315,0.916027962,0.895222729
95,0.001,4,8,8,16,0.969728099,0.95567125,0.914342277,0.893709054
96,0.001,4,8,16,4,0.978081358,0.954731133,0.91407124,0.898594252
97,0.001,4,8,16,8,0.972160336,0.953119266,0.911979622,0.893985683
98,0.001,4,8,16,16,0.973896776,0.956145004,0.908698144,0.894017093
99,0.001,4,16,4,4,0.972966816,0.954511807,0.912650141,0.893335577
100,0.001,4,16,4,8,0.976712658,0.95308839,0.912253147,0.895967031
101,0.001,4,16,4,16,0.973501651,0.953894759,0.915575363,0.894185067
102,0.001,4,16,8,4,0.976125811,0.962408706,0.919862476,0.897543892
103,0.001,4,16,8,8,0.974904407,0.95208006,0.917039883,0.893234474
104,0.001,4,16,8,16,0.975882948,0.950603675,0.907902295,0.888571868
105,0.001,4,16,16,4,0.981226033,0.958553406,0.914504127,0.903137788
106,0.001,4,16,16,8,0.97317502,0.956121619,0.917258188,0.896355487
107,0.001,4,16,16,16,0.970227358,0.947746606,0.906647909,0.884663945
108,0.001,8,4,4,4,0.96908902,0.952577318,0.907427594,0.887197911
109,0.001,8,4,4,8,0.978800383,0.957024821,0.913711571,0.899945737
110,0.001,8,4,4,16,0.965845834,0.951534842,0.91510892,0.89129683
111,0.001,8,4,8,4,0.976471503,0.957939285,0.915107633,0.892300786
112,0.001,8,4,8,8,0.973409762,0.94947328,0.911423551,0.888398071
113,0.001,8,4,8,16,0.974699646,0.947613939,0.907772691,0.894338078
114,0.001,8,4,16,4,0.973382684,0.953595595,0.913448925,0.901487392
115,0.001,8,4,16,8,0.97754032,0.958736995,0.919801879,0.899949101
116,0.001,8,4,16,16,0.973632159,0.955619405,0.91451753,0.896839787
117,0.001,8,8,4,4,0.978830511,0.958529952,0.9163193,0.890583154
118,0.001,8,8,4,8,0.974488318,0.954095297,0.920805493,0.893376583
119,0.001,8,8,4,16,0.97390411,0.952117131,0.91291282,0.88998672
120,0.001,8,8,8,4,0.976546034,0.958644169,0.916658572,0.899205314
121,0.001,8,8,8,8,0.971550923,0.950894647,0.910074972,0.891024794
122,0.001,8,8,8,16,0.971945605,0.954645965,0.917583496,0.895885286
123,0.001,8,8,16,4,0.978104067,0.955609154,0.919899288,0.897051575
124,0.001,8,8,16,8,0.974663434,0.957140466,0.91391418,0.892924788
125,0.001,8,8,16,16,0.980706077,0.962489811,0.914223288,0.895220906
126,0.001,8,16,4,4,0.968367973,0.951939424,0.914302346,0.895384864
127,0.001,8,16,4,8,0.977216716,0.952878935,0.916533909,0.897454087
128,0.001,8,16,4,16,0.975393446,0.963180335,0.915061243,0.900881404
129,0.001,8,16,8,4,0.977615943,0.958325527,0.914646183,0.890598302
130,0.001,8,16,8,8,0.972861501,0.954289383,0.911936754,0.895870494
131,0.001,8,16,8,16,0.974588776,0.947522105,0.909679884,0.891405679
132,0.001,8,16,16,4,0.971895417,0.955567037,0.918675397,0.894646256
133,0.001,8,16,16,8,0.980600421,0.957325351,0.911736382,0.895460987
134,0.001,8,16,16,16,0.974334969,0.952349092,0.915951823,0.896521774
135,0.001,16,4,4,4,0.973569529,0.953463265,0.908535107,0.894094628
136,0.001,16,4,4,8,0.973622187,0.955526775,0.919833302,0.89471939
137,0.001,16,4,4,16,0.976513842,0.95658322,0.910855369,0.896003373
138,0.001,16,4,8,4,0.976900901,0.960174974,0.913291377,0.897276809
139,0.001,16,4,8,8,0.973037539,0.954413334,0.905985286,0.894258971
140,0.001,16,4,8,16,0.971325576,0.954095888,0.91044884,0.890342164
141,0.001,16,4,16,4,0.973183826,0.952191486,0.910436396,0.886953438
142,0.001,16,4,16,8,0.972186667,0.946182311,0.905257913,0.891477493
143,0.001,16,4,16,16,0.97577863,0.949494246,0.907153561,0.890501689
144,0.001,16,8,4,4,0.97973795,0.963610589,0.919840274,0.901306642
145,0.001,16,8,4,8,0.971438637,0.955210812,0.915707375,0.897007929
146,0.001,16,8,4,16,0.976336187,0.951009613,0.913279683,0.890317089
147,0.001,16,8,8,4,0.96935543,0.954386194,0.907558254,0.893747076
148,0.001,16,8,8,8,0.978215283,0.953495567,0.913220888,0.894600497
149,0.001,16,8,8,16,0.97566188,0.954606723,0.915547703,0.887330853
150,0.001,16,8,16,4,0.96965085,0.952057488,0.910282348,0.895330359
151,0.001,16,8,16,8,0.966136312,0.946025898,0.908468044,0.893135718
152,0.001,16,8,16,16,0.967818759,0.952474482,0.913211809,0.892813705
153,0.001,16,16,4,4,0.978301554,0.959685013,0.915477305,0.894059026
154,0.001,16,16,4,8,0.972486465,0.956072144,0.913419261,0.89646128
155,0.001,16,16,4,16,0.979655694,0.959726234,0.917756142,0.894766982
156,0.001,16,16,8,4,0.969392355,0.953407083,0.913260721,0.889594713
157,0.001,16,16,8,8,0.970947455,0.953832201,0.912520987,0.887100753
158,0.001,16,16,8,16,0.976043754,0.954412684,0.914478946,0.896983151
159,0.001,16,16,16,4,0.976133764,0.950547804,0.907720264,0.889146303
160,0.001,16,16,16,8,0.980808827,0.95957521,0.919899397,0.895238659
161,0.001,16,16,16,16,0.973854643,0.957426942,0.911857057,0.890179325
162,0.01,4,4,4,4,0.971563927,0.953753839,0.913101939,0.895935038
163,0.01,4,4,4,8,0.972989827,0.957683646,0.914008634,0.895371314
164,0.01,4,4,4,16,0.977934154,0.959441254,0.91873658,0.899774986
165,0.01,4,4,8,4,0.980011013,0.952363803,0.918101633,0.895558901
166,0.01,4,4,8,8,0.968230199,0.947194915,0.908771648,0.892228516
167,0.01,4,4,8,16,0.972497043,0.956139626,0.907888843,0.896440549
168,0.01,4,4,16,4,0.974301911,0.95848333,0.9227407,0.895295975
169,0.01,4,4,16,8,0.975591169,0.957950202,0.915799798,0.902833212
170,0.01,4,4,16,16,0.970710296,0.95586951,0.91518441,0.893655355
171,0.01,4,8,4,4,0.972012144,0.953963949,0.90891287,0.887642289
172,0.01,4,8,4,8,0.970936055,0.953757369,0.916135156,0.89641954
173,0.01,4,8,4,16,0.96940266,0.947167454,0.904489456,0.892804937
174,0.01,4,8,8,4,0.968806361,0.954792062,0.912880358,0.891028563
175,0.01,4,8,8,8,0.977832934,0.957855121,0.923257109,0.902799507
176,0.01,4,8,8,16,0.971134666,0.953916315,0.908363042,0.887735738
177,0.01,4,8,16,4,0.976927456,0.957030235,0.916751611,0.897455604
178,0.01,4,8,16,8,0.97447011,0.962081962,0.9230359,0.896648628
179,0.01,4,8,16,16,0.974684781,0.951426124,0.915303196,0.888140473
180,0.01,4,16,4,4,0.973012614,0.95270976,0.913249849,0.891840543
181,0.01,4,16,4,8,0.977327913,0.954907076,0.911500364,0.892571136
182,0.01,4,16,4,16,0.973606198,0.9551293,0.910921417,0.893966165
183,0.01,4,16,8,4,0.977372988,0.953366308,0.919055741,0.89855684
184,0.01,4,16,8,8,0.976934862,0.949680645,0.911557317,0.890467382
185,0.01,4,16,8,16,0.978523556,0.95904801,0.922310497,0.899352836
186,0.01,4,16,16,4,0.983603763,0.962077341,0.922642886,0.894732578
187,0.01,4,16,16,8,0.973108806,0.950114617,0.90751385,0.887681926
188,0.01,4,16,16,16,0.982206818,0.961135812,0.918258707,0.900026725
189,0.01,8,4,4,4,0.965582797,0.953391462,0.914154464,0.890472702
190,0.01,8,4,4,8,0.98075232,0.952902178,0.912897547,0.893597819
191,0.01,8,4,4,16,0.972865417,0.949262082,0.914694147,0.895422281
192,0.01,8,4,8,4,0.979481207,0.961577173,0.918501937,0.893135354
193,0.01,8,4,8,8,0.97796084,0.95397135,0.913726008,0.89388739
194,0.01,8,4,8,16,0.974069358,0.951306636,0.910135877,0.896771177
195,0.01,8,4,16,4,0.969696353,0.947211798,0.910617336,0.889542165
196,0.01,8,4,16,8,0.97719594,0.958878156,0.913709901,0.894022976
197,0.01,8,4,16,16,0.968073905,0.948038696,0.909890713,0.89078225
198,0.01,8,8,4,4,0.975625928,0.961356511,0.917831117,0.897827929
199,0.01,8,8,4,8,0.975726587,0.95088323,0.910912774,0.892562317
200,0.01,8,8,4,16,0.967983081,0.949793667,0.910033158,0.895210191
201,0.01,8,8,8,4,0.970263597,0.952236635,0.914777784,0.89674953
202,0.01,8,8,8,8,0.97604303,0.953962371,0.917290445,0.892481062
203,0.01,8,8,8,16,0.975421035,0.950678618,0.916247231,0.888994683
204,0.01,8,8,16,4,0.972137051,0.959287089,0.915688606,0.895828664
205,0.01,8,8,16,8,0.973356971,0.951751264,0.918257826,0.89518938
206,0.01,8,8,16,16,0.971157196,0.953647353,0.909520921,0.891424878
207,0.01,8,16,4,4,0.975315118,0.959348204,0.914498082,0.899022475
