,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
70,0.0001,16,8,16,8,0.984261312,0.957199586,0.923469655,0.888780535
71,0.0001,16,8,16,16,0.982846088,0.949585521,0.919409263,0.895533811
72,0.0001,16,16,4,4,0.983167883,0.950454148,0.928276125,0.897910148
73,0.0001,16,16,4,8,0.982673451,0.953832191,0.917697385,0.890661378
74,0.0001,16,16,4,16,0.991578013,0.952539761,0.923312766,0.892578552
75,0.0001,16,16,8,4,0.98537535,0.952823749,0.920218853,0.89159059
76,0.0001,16,16,8,8,0.986511015,0.95447181,0.930104489,0.892528336
77,0.0001,16,16,8,16,0.984313768,0.953877682,0.924634155,0.891984908
78,0.0001,16,16,16,4,0.985532519,0.954073475,0.921424993,0.890929768
79,0.0001,16,16,16,8,0.975373442,0.949745143,0.919542247,0.885208679
80,0.0001,16,16,16,16,0.979848634,0.95619523,0.922902994,0.889494544
81,0.001,4,4,4,4,0.990970038,0.956787972,0.92812403,0.899425521
82,0.001,4,4,4,8,0.987542972,0.958215846,0.926094064,0.898652432
83,0.001,4,4,4,16,0.989058184,0.958731365,0.926711353,0.891135143
84,0.001,4,4,8,4,0.987045316,0.956807031,0.923970865,0.890824956
85,0.001,4,4,8,8,0.984557328,0.956005126,0.924485917,0.89351036
86,0.001,4,4,8,16,0.979836326,0.952683653,0.92289095,0.894593922
87,0.001,4,4,16,4,0.980911394,0.948505546,0.924323812,0.893375069
88,0.001,4,4,16,8,0.987502583,0.952894342,0.923114772,0.895949521
89,0.001,4,4,16,16,0.980858248,0.951085006,0.91889098,0.886625354
90,0.001,4,8,4,4,0.980464184,0.958090654,0.925308216,0.894281496
91,0.001,4,8,4,8,0.977706193,0.954288525,0.921050612,0.890672525
92,0.001,4,8,4,16,0.98408666,0.952795218,0.927724825,0.892055952
93,0.001,4,8,8,4,0.979210543,0.950551704,0.922478469,0.889177055
94,0.001,4,8,8,8,0.982284089,0.948572239,0.916226649,0.893702297
95,0.001,4,8,8,16,0.981857852,0.950651243,0.920730003,0.889151747
96,0.001,4,8,16,4,0.987272372,0.957076788,0.923950499,0.890602133
97,0.001,4,8,16,8,0.984230125,0.958484945,0.925178151,0.896522844
98,0.001,4,8,16,16,0.985339442,0.95959572,0.921270632,0.897468446
99,0.001,4,16,4,4,0.983604507,0.955634053,0.917871486,0.896708801
100,0.001,4,16,4,8,0.982031388,0.955013634,0.925342333,0.893043905
101,0.001,4,16,4,16,0.977047988,0.9526497,0.919851059,0.896258588
102,0.001,4,16,8,4,0.981592541,0.950982309,0.921656211,0.894116155
103,0.001,4,16,8,8,0.986173697,0.956771462,0.924337546,0.893795767
104,0.001,4,16,8,16,0.983901746,0.951907628,0.92517911,0.896176851
105,0.001,4,16,16,4,0.99278138,0.955851023,0.931188343,0.902659715
