,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
0,0.0001,4,4,4,4,0.949707852,0.944227103,0.940096321,0.933501304
1,0.0001,4,4,4,8,0.94020706,0.938830929,0.931684434,0.933480865
2,0.0001,4,4,4,16,0.950495429,0.944022434,0.934825915,0.941230447
3,0.0001,4,4,8,4,0.950374544,0.946784406,0.937587318,0.932148918
4,0.0001,4,4,8,8,0.953707774,0.948028796,0.941032672,0.934608044
5,0.0001,4,4,8,16,0.946647754,0.939592001,0.940133839,0.934459695
6,0.0001,4,4,16,4,0.945543033,0.943223221,0.935411113,0.934918319
7,0.0001,4,4,16,8,0.949006069,0.944470822,0.937358347,0.935516613
8,0.0001,4,4,16,16,0.949270595,0.944350488,0.937697717,0.933320872
9,0.0001,4,8,4,4,0.943425866,0.94214767,0.940773252,0.936953266
10,0.0001,4,8,4,8,0.946237296,0.949368435,0.94227105,0.941040566
11,0.0001,4,8,4,16,0.938353601,0.939700214,0.934272825,0.925232423
12,0.0001,4,8,8,4,0.950421136,0.947135151,0.936078865,0.934273295
13,0.0001,4,8,8,8,0.938896654,0.934737519,0.936396311,0.927795013
14,0.0001,4,8,8,16,0.944031395,0.937429702,0.930210643,0.934866165
15,0.0001,4,8,16,4,0.941932755,0.939636306,0.938533952,0.935500556
16,0.0001,4,8,16,8,0.946582921,0.940503257,0.930027797,0.93466633
17,0.0001,4,8,16,16,0.935867264,0.941998121,0.935921944,0.927016033
18,0.0001,4,16,4,4,0.948165266,0.94862811,0.940472154,0.940970313
19,0.0001,4,16,4,8,0.948222301,0.943774292,0.937328093,0.936258986
20,0.0001,4,16,4,16,0.945571748,0.94587756,0.945650032,0.93536082
21,0.0001,4,16,8,4,0.948221736,0.943893232,0.942395921,0.942533635
22,0.0001,4,16,8,8,0.944442309,0.945668646,0.940739185,0.933779602
23,0.0001,4,16,8,16,0.938976446,0.938225094,0.927235477,0.925874649
24,0.0001,4,16,16,4,0.93811142,0.936563573,0.934361465,0.937822665
25,0.0001,4,16,16,8,0.938374305,0.93833392,0.931114802,0.935639272
26,0.0001,4,16,16,16,0.946375696,0.942811799,0.931667586,0.929488696
27,0.0001,8,4,4,4,0.943968531,0.935923631,0.936772023,0.932045491
28,0.0001,8,4,4,8,0.944179535,0.943679294,0.940428089,0.937098848
29,0.0001,8,4,4,16,0.942470933,0.946988577,0.933122275,0.932421988
30,0.0001,8,4,8,4,0.943167422,0.949117045,0.939724636,0.940924008
31,0.0001,8,4,8,8,0.948138272,0.942191156,0.933210125,0.938171085
32,0.0001,8,4,8,16,0.93629055,0.940838372,0.930518006,0.933883914
33,0.0001,8,4,16,4,0.947506704,0.940155595,0.93757888,0.934842121
34,0.0001,8,4,16,8,0.949350177,0.948238167,0.93502628,0.932066042
35,0.0001,8,4,16,16,0.947482536,0.940556727,0.933713864,0.939525195
36,0.0001,8,8,4,4,0.938885209,0.940428209,0.935512613,0.926284256
37,0.0001,8,8,4,8,0.942741604,0.938133722,0.9339386,0.931737874
38,0.0001,8,8,4,16,0.935182856,0.939213106,0.933679197,0.927343477
39,0.0001,8,8,8,4,0.949764882,0.940712909,0.933492373,0.939102746
40,0.0001,8,8,8,8,0.944852363,0.942768061,0.939734592,0.932273752
41,0.0001,8,8,8,16,0.940356684,0.937630729,0.933281166,0.934581762
42,0.0001,8,8,16,4,0.942390749,0.94514086,0.936565463,0.931090424
43,0.0001,8,8,16,8,0.945287352,0.948589851,0.944917788,0.941607829
44,0.0001,8,8,16,16,0.948341883,0.940564091,0.937157469,0.929027628
45,0.0001,8,16,4,4,0.944637282,0.937878348,0.934095093,0.937641483
46,0.0001,8,16,4,8,0.939823579,0.944069424,0.940029918,0.930362461
47,0.0001,8,16,4,16,0.939759438,0.937494815,0.93225627,0.929919518
48,0.0001,8,16,8,4,0.938677602,0.938839815,0.930835816,0.934762012
49,0.0001,8,16,8,8,0.948368836,0.944295812,0.936428947,0.929880343
50,0.0001,8,16,8,16,0.940610178,0.942757759,0.936939769,0.933066149
51,0.0001,8,16,16,4,0.942535818,0.939336673,0.93734879,0.933683019
52,0.0001,8,16,16,8,0.949998605,0.949479296,0.937618844,0.938509618
53,0.0001,8,16,16,16,0.943623355,0.941145729,0.934646298,0.925287263
54,0.0001,16,4,4,4,0.942231841,0.942761411,0.934049826,0.934524471
55,0.0001,16,4,4,8,0.943313468,0.938109747,0.938055494,0.931164619
56,0.0001,16,4,4,16,0.940155352,0.9436747,0.932784888,0.931296799
